id,Geographic Area ame,Estimate_Households_Mean_income
8600000US01050,ZCTA5 01050,75890
8600000US01053,ZCTA5 01053,80090
8600000US01054,ZCTA5 01054,124037
8600000US01056,ZCTA5 01056,84787
8600000US01057,ZCTA5 01057,94287
8600000US01060,ZCTA5 01060,85478
8600000US01062,ZCTA5 01062,96383
8600000US01063,ZCTA5 01063,
8600000US01066,ZCTA5 01066,
8600000US01068,ZCTA5 01068,97402
8600000US01069,ZCTA5 01069,76135
8600000US01070,ZCTA5 01070,70856
8600000US01071,ZCTA5 01071,82176
8600000US01072,ZCTA5 01072,90739
8600000US01073,ZCTA5 01073,118405
8600000US01074,ZCTA5 01074,69852
8600000US01075,ZCTA5 01075,83301
8600000US01077,ZCTA5 01077,95372
8600000US01079,ZCTA5 01079,63468
8600000US01080,ZCTA5 01080,69715
8600000US01081,ZCTA5 01081,69192
8600000US01082,ZCTA5 01082,68449
8600000US01083,ZCTA5 01083,74678
8600000US01084,ZCTA5 01084,111520
8600000US01085,ZCTA5 01085,82468
8600000US01086,ZCTA5 01086,
8600000US01088,ZCTA5 01088,54022
8600000US01089,ZCTA5 01089,72502
8600000US01092,ZCTA5 01092,89246
8600000US01093,ZCTA5 01093,136228
8600000US01094,ZCTA5 01094,46300
8600000US01095,ZCTA5 01095,128416
8600000US01096,ZCTA5 01096,100853
8600000US01097,ZCTA5 01097,37067
8600000US01098,ZCTA5 01098,90288
8600000US01103,ZCTA5 01103,36617
8600000US01104,ZCTA5 01104,50060
8600000US01105,ZCTA5 01105,29784
8600000US01106,ZCTA5 01106,150501
8600000US01107,ZCTA5 01107,42553
8600000US01108,ZCTA5 01108,55405
8600000US01109,ZCTA5 01109,46688
8600000US01118,ZCTA5 01118,78442
8600000US01119,ZCTA5 01119,60776
8600000US01128,ZCTA5 01128,82404
8600000US01129,ZCTA5 01129,71121
8600000US01151,ZCTA5 01151,50188
8600000US01199,ZCTA5 01199,
8600000US01201,ZCTA5 01201,67687
8600000US01220,ZCTA5 01220,64283
8600000US01222,ZCTA5 01222,73801
8600000US01223,ZCTA5 01223,93111
8600000US01224,ZCTA5 01224,34156
8600000US01225,ZCTA5 01225,77583
8600000US01226,ZCTA5 01226,82283
8600000US01229,ZCTA5 01229,32656
8600000US01230,ZCTA5 01230,86181
8600000US01235,ZCTA5 01235,82428
8600000US01236,ZCTA5 01236,103014
8600000US01237,ZCTA5 01237,89514
8600000US01238,ZCTA5 01238,88539
8600000US01240,ZCTA5 01240,103514
8600000US01242,ZCTA5 01242,83180
8600000US01243,ZCTA5 01243,100414
8600000US01244,ZCTA5 01244,64115
8600000US01245,ZCTA5 01245,113087
8600000US01247,ZCTA5 01247,58425
8600000US01253,ZCTA5 01253,94443
8600000US01254,ZCTA5 01254,137232
8600000US01255,ZCTA5 01255,95760
8600000US01256,ZCTA5 01256,74963
8600000US01257,ZCTA5 01257,114738
8600000US01258,ZCTA5 01258,86125
8600000US01259,ZCTA5 01259,114977
8600000US01260,ZCTA5 01260,97512
8600000US01262,ZCTA5 01262,70993
8600000US01264,ZCTA5 01264,129121
8600000US01266,ZCTA5 01266,99441
8600000US01267,ZCTA5 01267,106997
8600000US01270,ZCTA5 01270,112009
8600000US01301,ZCTA5 01301,65267
8600000US01330,ZCTA5 01330,97618
8600000US01331,ZCTA5 01331,68944
8600000US01337,ZCTA5 01337,84012
8600000US01338,ZCTA5 01338,65634
8600000US01339,ZCTA5 01339,75316
8600000US01340,ZCTA5 01340,72255
8600000US01341,ZCTA5 01341,125683
8600000US01342,ZCTA5 01342,99663
8600000US01343,ZCTA5 01343,69458
8600000US01344,ZCTA5 01344,71300
8600000US01346,ZCTA5 01346,79080
8600000US01347,ZCTA5 01347,60591
8600000US01349,ZCTA5 01349,73824
8600000US01350,ZCTA5 01350,41919
8600000US01351,ZCTA5 01351,85970
8600000US01354,ZCTA5 01354,84268
8600000US01355,ZCTA5 01355,84343
8600000US01360,ZCTA5 01360,89564
8600000US01364,ZCTA5 01364,62725
8600000US01366,ZCTA5 01366,86021
8600000US01367,ZCTA5 01367,67150
8600000US01368,ZCTA5 01368,82135
8600000US01370,ZCTA5 01370,84279
8600000US01373,ZCTA5 01373,101267
8600000US01375,ZCTA5 01375,84851
8600000US01376,ZCTA5 01376,59821
8600000US01378,ZCTA5 01378,67686
8600000US01379,ZCTA5 01379,68530
8600000US01420,ZCTA5 01420,69203
8600000US01430,ZCTA5 01430,113980
8600000US01431,ZCTA5 01431,107607
8600000US01432,ZCTA5 01432,103949
8600000US01434,ZCTA5 01434,103693
8600000US01436,ZCTA5 01436,81575
8600000US01438,ZCTA5 01438,103009
8600000US01440,ZCTA5 01440,66620
8600000US01450,ZCTA5 01450,150606
8600000US01451,ZCTA5 01451,197465
8600000US01452,ZCTA5 01452,105091
8600000US01453,ZCTA5 01453,76754
8600000US01460,ZCTA5 01460,143603
8600000US01462,ZCTA5 01462,113569
8600000US01463,ZCTA5 01463,119833
8600000US01464,ZCTA5 01464,99016
8600000US01467,ZCTA5 01467,135641
8600000US01468,ZCTA5 01468,89960
8600000US01469,ZCTA5 01469,102455
8600000US01473,ZCTA5 01473,113449
8600000US01474,ZCTA5 01474,136120
8600000US01475,ZCTA5 01475,84674
8600000US01501,ZCTA5 01501,99167
8600000US01503,ZCTA5 01503,132350
8600000US01504,ZCTA5 01504,99879
8600000US01505,ZCTA5 01505,119053
8600000US01506,ZCTA5 01506,90221
8600000US01507,ZCTA5 01507,110976
8600000US01510,ZCTA5 01510,83269
8600000US01515,ZCTA5 01515,89692
8600000US01516,ZCTA5 01516,104320
8600000US01518,ZCTA5 01518,100478
8600000US01519,ZCTA5 01519,130158
8600000US01520,ZCTA5 01520,123838
8600000US01521,ZCTA5 01521,95053
8600000US01522,ZCTA5 01522,127360
8600000US01523,ZCTA5 01523,116842
8600000US01524,ZCTA5 01524,92142
8600000US01525,ZCTA5 01525,51491
8600000US01527,ZCTA5 01527,104680
8600000US01529,ZCTA5 01529,98656
8600000US01531,ZCTA5 01531,107679
8600000US01532,ZCTA5 01532,154347
8600000US01534,ZCTA5 01534,114506
8600000US01535,ZCTA5 01535,85607
8600000US01536,ZCTA5 01536,124935
8600000US01537,ZCTA5 01537,78072
8600000US01540,ZCTA5 01540,83768
8600000US01541,ZCTA5 01541,165998
8600000US01542,ZCTA5 01542,111247
8600000US01543,ZCTA5 01543,112333
8600000US01545,ZCTA5 01545,129554
8600000US01550,ZCTA5 01550,62978
8600000US01560,ZCTA5 01560,111389
8600000US01561,ZCTA5 01561,85720
8600000US01562,ZCTA5 01562,78836
8600000US01564,ZCTA5 01564,137440
8600000US01566,ZCTA5 01566,125087
8600000US01568,ZCTA5 01568,146652
8600000US01569,ZCTA5 01569,108745
8600000US01570,ZCTA5 01570,73864
8600000US01571,ZCTA5 01571,89644
8600000US01581,ZCTA5 01581,139391
8600000US01583,ZCTA5 01583,107040
8600000US01585,ZCTA5 01585,85963
8600000US01588,ZCTA5 01588,91039
8600000US01590,ZCTA5 01590,124900
8600000US01602,ZCTA5 01602,81485
8600000US01603,ZCTA5 01603,59029
8600000US01604,ZCTA5 01604,69097
8600000US01605,ZCTA5 01605,55155
8600000US01606,ZCTA5 01606,82004
8600000US01607,ZCTA5 01607,57551
8600000US01608,ZCTA5 01608,33694
8600000US01609,ZCTA5 01609,82154
8600000US01610,ZCTA5 01610,45316
8600000US01611,ZCTA5 01611,101899
8600000US01612,ZCTA5 01612,131047
8600000US01701,ZCTA5 01701,132278
8600000US01702,ZCTA5 01702,76098
8600000US01718,ZCTA5 01718,157821
8600000US01719,ZCTA5 01719,140407
8600000US01720,ZCTA5 01720,165998
8600000US01721,ZCTA5 01721,136571
8600000US01730,ZCTA5 01730,163587
8600000US01731,ZCTA5 01731,104475
8600000US01740,ZCTA5 01740,174038
8600000US01741,ZCTA5 01741,240930
8600000US01742,ZCTA5 01742,195692
8600000US01745,ZCTA5 01745,124938
8600000US01746,ZCTA5 01746,157110
8600000US01747,ZCTA5 01747,109996
8600000US01748,ZCTA5 01748,190259
8600000US01749,ZCTA5 01749,106042
8600000US01752,ZCTA5 01752,100656
8600000US01754,ZCTA5 01754,121375
8600000US01756,ZCTA5 01756,161517
8600000US01757,ZCTA5 01757,94403
