ZTCA,Median_Household_Income,Mean_Household_Income
31707,41519,55646
31709,37133,54619
31711,43578,44489
31712,37476,46735
31714,37489,50634
31716,51806,63965
31719,34821,50600
31720,31750,41909
31721,72992,92029
31722,43125,49856
31730,35272,50519
31733,57841,82546
31735,-,47526
31738,44028,54641
31743,39292,43192
31744,49943,63278
31747,-,40671
31749,37932,46168
31750,34193,46357
31756,56250,101192
31757,58527,77460
31763,64533,78503
31764,49570,66578
31765,31602,44251
31768,33321,52726
31771,39280,55534
31772,46950,49688
31773,46820,60429
31774,29549,46943
31775,36250,68238
31778,38674,60367
31779,39641,48686
31780,33618,48322
31781,36014,48413
31783,44000,59868
31784,41161,58405
31787,32946,55588
31788,38596,54723
31789,41775,47569
31790,36458,47920
31791,46557,64164
31792,35099,66577
31793,61356,75382
31794,41933,55928
31795,37778,51236
31796,40924,56166
31798,36026,33665
31801,56191,59911
31803,43393,56165
31804,89357,111166
31805,37411,49161
31806,44497,54331
31807,93632,94076
31808,98021,134084
31810,25357,33061
31811,85613,99844
31812,31023,78836
31814,53854,55315
31815,25216,43702
31816,36942,54121
31820,98933,124519
31821,19019,30013
31822,57321,72072
31823,44970,66493
31824,34097,44615
31825,34669,58933
31826,42800,47715
31827,39375,47297
31829,101786,111658
31830,43286,58793
31831,62836,66266
31832,30469,39811
31833,48996,59363
31836,39500,46173
31901,25253,45054
31903,22282,32657
31904,50512,81431
31905,58986,69760
31906,31195,56556
31907,43128,58669
31909,60888,71356
39813,34375,45420
39815,48125,47653
39817,36617,49622
39819,45486,63065
39823,29607,45191
39824,-,53030
39825,51944,70852
39826,38295,55149
39827,49625,71437
39828,39733,54572
39834,39896,49784
39836,-,66548
39837,42044,55535
39840,31352,38710
39841,38750,82409
39842,33688,50034
39845,34124,68523
39846,26474,39808
39851,21964,33609
39854,31042,47746
39859,32305,48014
39861,29348,32781
39862,40833,55594
39866,30500,54546
39867,21591,32576
39870,27203,43494
39877,32750,40261
39885,39167,47924
39886,36602,56028
39897,47026,58401
96701,94541,112861
96703,69615,84694
96704,52708,86595
96705,86250,91217
96706,105161,116875
96707,105278,119818
96708,86950,111954
96710,-,61016
96712,96297,130049
96713,55357,71305
96714,38710,57156
96716,75417,87207
96717,85365,95276
96719,65324,88528
96720,63335,79515
96722,66912,92206
96725,74276,93816
96726,78854,89669
96727,59937,68218
96728,70208,93055
96729,42857,56908
96730,74792,95689
96731,82792,110757
96732,83547,97528
96734,102242,136909
96737,15654,27223
96738,74869,85758
96740,79506,105232
96741,88424,100487
96742,69375,83246
96743,90441,120658
96744,110939,130412
96746,89212,95064
96747,70417,78351
96748,41705,59535
96749,54094,71524
96750,64620,80707
96751,49009,50161
96752,87305,87356
96753,79074,108923
96754,89471,121718
96755,75746,79854
96756,68889,96241
96757,-,50769
96759,-,52008
96760,52375,59981
96761,79873,109801
96762,96792,112001
96763,55464,73484
96764,65000,75893
96765,70673,61773
96766,84663,103185
96768,84722,101518
96769,43906,59889
96770,29167,44118
96771,36395,51152
96772,51756,68753
96773,-,46719
96774,48819,56632
96776,50000,70729
96777,66034,91982
96778,39418,55995
96779,104583,133052
96780,31792,86324
96781,57143,96514
96782,93832,113679
96783,42375,57505
96785,55731,67810
96786,63565,77181
96789,102228,116950
96790,79390,117045
96791,83889,103314
96792,66766,84424
96793,87987,99891
96795,92321,117469
96796,83523,92991
96797,93034,111467
96813,74170,98865
96814,63283,84183
96815,63773,84820
96816,90788,122114
96817,65231,94676
96818,79653,97728
96819,81727,110904
96821,143032,177518
96822,77275,109320
96825,126346,153019
96826,51649,68962
96850,-,-
96853,-,-
96857,-,-
96859,-,-
96860,-,-
96863,-,-
83201,50526,65757
83202,56977,65416
83203,29688,29735
83204,45187,65192
83209,-,14814
83210,44808,57928
83211,48488,63213
83212,54167,77637
83213,34602,64433
83214,54063,64811
83215,33750,37081
83217,55357,72234
83218,52917,57215
83220,49474,57687
83221,57389,67766
83223,67250,83494
83226,35150,41457
83227,-,N
83228,50417,55547
83232,65417,72565
83233,-,N
83234,56750,73995
83235,-,24813
83236,60246,63328
83237,60313,81320
83238,60769,62337
83239,70833,71816
83241,59397,82063
83243,-,N
83244,54000,77661
83245,60804,72467
83246,71250,90901
83250,66250,83555
83251,38571,61515
83252,53636,58755
83253,-,35000
83254,48267,61564
83255,50481,70576
83261,58750,61314
83262,69688,76633
83263,55446,72294
83271,63125,68248
83272,68125,77094
83274,57955,75171
83276,57813,66730
83277,103750,96795
83278,99840,101566
83281,-,N
83283,103409,167870
83285,44276,62074
83286,62404,71956
83287,80250,98217
83301,52496,68598
83302,35417,39940
83311,52105,67194
83312,32266,48660
83313,62451,74514
83314,46750,79684
83316,47117,59882
83318,52953,64325
83320,66025,73489
83321,48214,61060
83322,"2,500-",N
83323,57250,68573
83324,54583,62092
83325,56912,70757
83327,41389,69513
83328,51793,64158
83330,45421,60981
83332,46250,62757
83333,53376,91894
83334,52143,63959
83335,47375,55035
83336,56757,75439
83337,-,N
83338,53380,63615
83340,57417,69374
83341,64554,78408
83342,44583,60500
83344,55688,77500
83346,53992,89391
83347,55127,63898
83348,-,63782
83349,52366,73598
83350,48309,66254
83352,45700,54135
83353,51767,97234
83354,-,-
83355,50084,59186
83401,56752,69864
83402,53583,72891
83404,67246,97785
83406,71081,94436
83420,43015,59378
83421,80259,71431
83422,74688,88851
83423,46442,53440
83424,18797,53125
83425,59375,84071
83427,80227,84463
83428,58167,64609
83429,58750,78300
83431,60804,64690
83433,-,N
83434,70077,77011
83435,54327,63013
83436,50000,67814
83440,38154,54553
83442,64741,82528
83443,49608,64078
83444,39453,47409
83445,61228,67177
83446,-,31869
83448,47596,73031
83449,53611,57016
83450,53393,63569
83451,56500,59997
83452,74860,86914
83454,67955,73003
83455,75745,91088
83460,-,-
83462,30968,38272
83463,-,61064
83464,40568,51210
83465,79028,79059
83466,-,69273
83467,39648,54458
83468,50536,50335
83469,-,N
83501,58611,72033
83520,42250,49412
83522,50694,62229
83523,48375,64462
83524,51094,70039
83525,31000,34609
83526,63250,61887
83530,42981,54222
83533,87679,85039
83535,58950,69700
83536,35970,49029
83537,62841,78138
83539,41111,52179
83540,50288,60302
83541,48523,57964
83542,32083,35747
83543,53125,72285
83544,46417,60807
83545,47125,55993
83546,45750,56828
83547,31369,41882
83548,47000,48954
83549,36500,56637
83552,32283,43153
83553,38125,46372
83554,38661,49343
83555,42500,59055
83601,-,N
83602,-,N
83604,44922,68123
83605,47839,57596
83607,54227,73224
83610,37097,64025
83611,55889,66618
83612,40833,53242
83615,56897,72389
83616,89460,126728
83617,44332,55388
83619,55176,75452
83622,58200,77962
83623,29833,35438
83624,48050,92032
83626,50333,58550
83627,38065,45633
83628,41897,50775
83629,51667,66729
83631,39500,51969
83632,66563,90696
83633,71250,78119
83634,71644,79440
83636,-,N
83637,30682,37153
83638,71714,94896
83639,45714,58473
83641,52880,84750
83642,71515,92334
83643,-,43017
83644,61415,77616
83645,48750,70961
83646,74996,90701
83647,48542,57667
83648,44007,51419
83650,39167,54941
83651,46996,55273
83654,55222,68342
83655,52128,69403
83656,48942,53583
83657,53713,49380
83660,54808,63149
83661,47835,61160
83666,73333,57240
83669,67326,92281
83670,46875,53465
83671,-,N
83672,40031,52836
83676,54054,70411
83677,-,N
83686,54141,66591
83687,52404,71245
83702,62985,108936
83703,59618,79253
83704,52611,66086
83705,48180,58546
83706,50017,77024
83709,75341,89937
83712,84828,120350
83713,65068,83630
83714,58985,85833
83716,96355,109590
83801,54679,71307
83802,33750,30197
83803,48776,54330
83804,39198,73061
83805,44123,68873
83806,38889,45025
83808,26875,49433
83809,104438,108596
83810,42583,108021
83811,22625,35591
83812,24167,33729
83813,68693,82370
83814,52145,78348
83815,57120,69191
83821,108750,156590
83822,31042,37253
83823,59063,69453
83824,41250,51611
83825,65208,72276
83826,-,-
83827,36136,42595
83830,27366,27086
83832,68558,84935
83833,73125,81651
83834,63306,58229
83835,60268,83253
83836,60446,68806
83837,34118,48569
83839,41930,50141
83840,40446,41436
83841,-,58451
83842,51750,72686
83843,45037,63385
83844,-,-
83845,47056,56796
83846,42500,52202
83847,36419,47032
83848,34632,49484
83849,43548,53161
83850,33580,68131
83851,43750,51087
83852,39500,44538
83854,55226,66490
83855,41488,50667
83856,45917,57376
83857,56214,91571
83858,65544,83182
83860,69844,83233
83861,51442,62238
83864,54821,69500
83866,-,N
83867,66451,88760
83868,37276,43899
83869,52773,70111
83870,32917,47039
83871,65398,81868
83872,94519,132446
83873,37045,50160
83874,-,N
83876,58889,70194
60002,87219,103205
60004,99701,126454
60005,84383,113159
60007,82234,100953
60008,71403,96381
60010,143340,190903
60012,132045,155367
60013,100425,123602
60014,87413,108209
60015,146380,200029
60016,64195,84700
60018,64429,79756
60020,58768,76471
60021,107212,123413
60022,248243,365199
60025,100557,154643
60026,119198,178720
60029,235000,292089
60030,89995,111015
60031,94801,119265
60033,59370,72142
60034,69844,91839
60035,150226,231128
60040,63388,96649
60041,69728,88799
60042,82688,93291
60043,227404,324024
60044,107550,163102
60045,179563,270846
60046,100595,116200
60047,141285,183819
60048,140590,187118
60050,73132,91982
60051,84746,101403
60053,85360,101967
60056,79204,102767
60060,94372,117142
60061,104583,133271
60062,112090,160562
60064,36439,51031
60067,105294,141299
60068,111740,148482
60069,107411,158877
60070,72179,101066
60071,69297,90137
60072,115313,132466
60073,75590,89523
60074,68613,90591
60076,77157,106709
60077,65456,84320
60081,93125,114773
60083,94792,106724
60084,81548,104848
60085,45114,57956
60087,60537,72184
60088,62159,70141
60089,116050,140488
60090,68615,86791
60091,164556,243403
60093,194750,318850
60096,88520,104396
60097,72123,83711
60098,69005,93508
60099,53178,67049
60101,67525,85239
60102,102372,119057
60103,109323,122404
60104,56618,74994
60106,64700,78768
60107,80412,91660
60108,87545,110424
60109,76136,116506
60110,69572,85264
60111,197955,205549
60112,79000,91887
60113,75179,80755
60115,46127,63928
60118,90401,111494
60119,104467,127136
60120,61470,75388
60123,66095,83904
60124,114031,134416
60126,117258,160941
60129,-,85269
60130,62664,84007
60131,64128,74247
60133,76794,85116
60134,124103,152537
60135,73032,90900
60136,97135,112048
60137,109593,151119
60139,68469,82036
60140,96269,111204
60141,-,N
60142,76241,91211
60143,97204,115671
60144,52000,59932
60145,73750,93869
60146,65313,80102
60148,83008,100062
60150,72692,96051
60151,98372,104260
60152,81840,96857
60153,50176,62242
60154,86623,95501
60155,54219,67588
60156,92932,107456
60157,112292,135146
60160,50853,64017
60162,57643,73643
60163,64399,81341
60164,61109,70481
60165,59778,63999
60169,77936,91150
60171,59814,72012
60172,90947,103972
60173,85862,107835
60174,90703,118667
60175,149271,180112
60176,54099,64951
60177,98599,117312
60178,75060,88886
60180,96265,101393
60181,75730,88896
60184,133977,192958
60185,85185,103371
60187,106861,139077
60188,85686,100250
60189,102894,140235
60190,115870,132845
60191,69738,90340
60192,122785,146663
60193,83049,96574
60194,81630,97579
60195,88500,91990
60201,78250,142061
60202,79414,120992
60203,123636,167223
60301,85879,102969
60302,89533,135733
60304,115374,138020
60305,129928,228127
60401,76742,80897
60402,63087,75855
60403,56427,66508
60404,104286,120740
60406,47475,56964
60407,63370,73881
60408,64709,80261
60409,44444,55536
60410,91224,106196
60411,47769,62462
60415,48750,58961
60416,74300,89412
60417,75727,89655
60419,46658,58965
60420,58555,71171
60421,85988,97302
60422,117656,149410
60423,115653,135398
60424,62614,80952
60425,63512,71015
60426,33182,46398
60428,43466,60272
60429,54717,72946
60430,74138,87066
60431,90760,105759
60432,47445,59245
60433,49412,61675
60435,56352,69234
60436,55789,62131
60437,78333,137341
60438,53490,68985
60439,99882,126655
60440,78750,92213
60441,79180,93148
60442,100868,103291
60443,77934,88610
60444,75938,89641
60445,60765,68963
60446,79883,89450
60447,86545,100096
60448,107204,130526
60449,80826,101726
60450,75470,90649
60451,109461,125365
60452,77054,89650
60453,64509,82249
60455,55637,68256
60456,50548,56334
60457,65226,80209
60458,51062,66032
60459,62654,80987
60460,61343,86249
60461,100074,119252
60462,84393,104080
60463,88915,114179
60464,101811,125935
60465,61143,79757
60466,54155,62383
60467,100126,130428
60468,82366,91767
60469,40885,52925
60470,80875,89897
60471,62946,69874
60472,27078,40255
60473,63157,78083
60474,77083,87834
60475,49080,61200
60476,64779,71506
60477,69419,85106
60478,61929,73046
60479,86176,80735
60480,81771,110042
60481,61809,79218
60482,57669,68137
60484,53973,61438
60487,100313,115088
60490,129697,150772
60491,107011,125362
60501,53258,66380
60502,115540,148141
60503,116714,131381
60504,84598,104527
60505,50986,66359
60506,62260,79114
60510,94934,124015
60511,94758,109306
60512,134175,127355
60513,82337,95447
60514,105753,177662
60515,98115,126679
60516,92408,116267
60517,85574,102518
60518,61386,70887
60519,-,N
60520,76736,89477
60521,196964,299666
60523,101250,184462
60525,91692,136656
60526,105120,128916
60527,103123,161510
60530,85313,100615
60531,66667,79672
60532,86032,112556
60534,60601,72203
60536,75417,82906
60537,73750,81201
60538,83377,95082
60539,-,-
60540,128247,157339
60541,88450,102001
60542,86911,104083
60543,102044,119147
60544,85842,100385
60545,79045,87285
60546,80523,113932
60548,70179,80231
60549,-,117781
60550,57500,72618
60551,69848,85647
60552,79803,88172
60553,62222,77836
60554,116285,145639
60555,88008,103253
60556,78272,85620
60557,-,93612
60558,174760,213985
60559,68454,93779
60560,99027,115938
60561,99472,125520
60563,93627,126016
60564,150318,174780
60565,137294,159440
60585,136466,160077
60586,105597,113808
60601,103112,169181
60602,191528,267451
60603,146250,257300
60604,91750,165259
60605,111438,157484
60606,140558,201606
60607,102726,136475
60608,50133,68601
60609,37353,52209
60610,92130,148946
60611,106906,174238
60612,43545,69562
60613,84318,121260
60614,117138,183890
60615,45077,73926
60616,52162,79276
60617,41125,56362
60618,78704,114178
60619,35629,50819
60620,36767,49860
60621,22158,34586
60622,101161,136961
60623,32460,44564
60624,23429,38311
60625,68770,94477
60626,42747,59984
60628,41169,56956
60629,43506,59799
60630,73212,92124
60631,93989,119010
60632,44924,60088
60633,51538,62548
60634,70083,85959
60636,26724,41196
60637,28965,62136
60638,68089,83809
60639,46107,64716
60640,57221,82729
60641,63545,86112
60642,112241,135431
60643,65631,92002
60644,26900,42925
60645,57572,82065
60646,95593,126843
60647,78413,109731
60649,31921,51506
60651,38955,53646
60652,70702,79416
60653,31093,59337
60654,122492,178523
60655,102813,116132
60656,64440,83902
60657,95173,143290
60659,52239,72497
60660,50966,75345
60661,120000,149605
60706,68808,86513
60707,61718,82268
60712,95030,124036
60714,64790,84055
60803,62045,73025
60804,49412,62672
60805,75657,90252
60827,32329,48231
60901,48319,62841
60910,45938,56633
60911,69271,78636
60912,37386,49114
60913,71938,78569
60914,73521,89134
60915,53799,60519
60917,81445,84000
60918,48385,62011
60919,66250,87648
60920,53750,68393
60921,39500,53427
60922,66250,73099
60924,60192,67219
60926,72917,75633
60927,57734,70350
60928,67143,85235
60929,46042,53987
60930,54083,61908
60931,56250,61310
60932,-,59727
60933,47813,56494
60934,34141,95185
60935,76750,92897
60936,46867,68004
60938,53857,62079
60940,71652,87694
60941,80114,105206
60942,47796,65971
60945,63750,71874
60946,57321,85568
60948,70341,88972
60949,54250,62054
60950,60922,80214
60951,71146,80296
60952,56563,78402
60953,48317,61738
60954,53614,63809
60955,56359,77597
60957,56366,68988
60958,29293,39658
60959,42250,56310
60960,57125,70994
60961,74688,107182
60962,42361,55226
60963,53387,61733
60964,55847,69689
60966,49663,59698
60968,57292,81208
60969,66250,64645
60970,42998,54298
60973,40000,56785
60974,44500,52547
61001,72772,79444
61006,59408,70838
61007,55714,65708
61008,60173,78281
61010,75433,95750
61011,152188,150483
61012,66250,87172
61013,58438,63172
61014,54671,63056
61015,92228,99887
61016,77130,90765
61018,54135,62701
61019,72939,83878
61020,70406,82957
61021,60134,75062
61024,65302,73178
61025,56385,76584
61027,-,N
61028,54022,72796
61030,56919,69078
61031,59432,78390
61032,43586,58136
61036,64659,86941
61037,-,63820
61038,86607,90442
61039,60144,65707
61041,40625,47994
61042,48456,60309
61043,38750,53697
61044,-,53978
61046,61830,77782
61047,52348,72523
61048,56549,69931
61049,62750,74246
61050,53214,69557
61051,60000,73768
61052,62198,71775
61053,57011,68288
61054,46181,54112
61057,-,91962
61059,69688,66711
61060,53456,68080
61061,59702,75599
61062,70000,81541
61063,72220,88055
61064,61528,70515
61065,74677,97861
61067,60357,74197
61068,55202,68147
61070,52813,74556
61071,52532,68148
61072,88346,94423
61073,88158,105285
61074,40307,53679
61075,66417,79755
61077,-,N
61078,53553,67971
61079,50536,61343
61080,61557,78489
61081,52027,71878
61084,65349,81579
61085,48561,60716
61087,57500,62596
61088,86587,98840
61089,56591,76095
61091,-,N
61101,35869,45432
61102,40226,61222
61103,39116,57795
61104,27586,38350
61107,61035,83016
61108,53829,66426
61109,52539,60737
61111,58184,73690
61112,21573,28815
61114,73841,96767
61115,63664,75287
61201,48473,61523
61230,58571,70708
61231,54306,66675
61232,67656,85477
61234,62375,69776
61235,59904,69561
61236,51667,62384
61238,61134,73190
61239,36402,45931
61240,75987,88198
61241,73096,80810
61242,73194,81451
61243,76500,82229
61244,54106,64518
61250,61823,75784
61251,75139,102916
61252,62825,74028
61254,67808,87425
61256,68472,85432
61257,59808,74549
61258,39625,46037
61259,80547,96395
61260,47805,52933
61261,48750,63080
61262,75769,82408
61263,68681,68188
61264,58802,79681
61265,54554,71837
61270,57994,73131
61272,50972,61128
61273,82818,90466
61274,70893,80450
61275,69091,89858
61276,59444,59564
61277,65064,88627
61278,61875,84403
61279,59219,68886
61281,71339,82960
61282,53056,60115
61283,57634,71638
61284,85801,105391
61285,63304,75207
61301,52624,66670
61310,57917,71500
61311,-,54292
61312,78000,88032
61313,48750,60470
61314,55536,63820
61315,53750,72240
61316,50625,60363
61317,48750,63139
61318,56719,65910
61319,64286,71538
61320,56250,73717
61321,75208,98264
61322,53393,65858
61323,-,75575
61324,79375,72389
61325,66250,110203
61326,64236,84397
61327,64625,75668
61328,-,N
61329,64318,78648
61330,80568,94815
61331,-,N
61332,79000,80112
61333,66875,72197
61334,62500,76922
61335,88125,84072
61336,57188,68237
61337,43750,59741
61338,46667,55942
61340,70536,83746
61341,67708,75784
61342,61717,80024
61344,48750,60040
61345,75000,88439
61346,49375,46994
61348,60500,70852
61349,61705,81947
61350,54910,71990
61353,54583,65541
61354,53773,71559
61356,59857,74929
61358,40875,54460
61359,49327,63666
61360,76848,87565
61361,60250,73957
61362,50606,65447
61363,41875,62626
61364,47784,60101
61367,57031,81329
61368,49271,63392
61369,58125,66001
61370,66625,73558
61372,59500,81871
61373,75000,86215
61374,76023,73842
61375,67125,75072
61376,57000,68462
61377,50938,64879
61378,69250,92069
61379,55688,66026
61401,38027,54362
61410,48864,53124
61411,75278,90651
61412,55563,67197
61413,58462,76190
61414,55000,61704
61415,57863,70517
61416,22386,30880
61417,68929,59262
61418,64500,80046
61419,41667,53092
61420,49904,59552
61421,60526,68913
61422,48088,57113
61423,60455,69906
61424,111125,93337
61425,54107,56966
61426,-,59133
61427,67857,79309
61428,67330,93724
61430,60769,80801
61431,41250,86001
61432,62386,75069
61433,-,N
61434,44839,56865
61435,-,N
61436,70714,86909
61437,56958,68497
61438,69583,100537
61439,57679,62117
61440,62292,64650
61441,45648,56436
61442,52574,59737
61443,42761,54724
61447,75208,111242
61448,58041,72933
61449,39038,66194
61450,52438,58270
61451,-,92161
61452,43750,48734
61453,53750,63044
61454,32292,48316
61455,41713,58720
61458,56488,67047
61459,73750,72590
61460,59844,70327
61462,47974,59785
61465,72228,71904
61466,68472,93483
61467,80078,78619
61468,98370,77993
61469,50556,54249
61470,29286,47851
61471,63250,75921
61472,72778,84444
61473,46250,58346
61474,53333,53950
61475,79545,79834
61476,52500,72829
61477,34911,44436
61478,108750,101264
61479,-,71657
61480,50096,55769
61482,59079,63968
61483,48654,57400
61484,52723,57433
61485,47083,60452
61486,63313,75181
61488,46000,58106
61489,50739,58131
61490,63500,75362
61491,62663,83633
61501,39850,52715
61516,74167,80976
61517,78636,111829
61519,49063,74408
61520,48163,70399
61523,61606,77996
61524,59688,69679
61525,128286,167428
61526,-,114958
61528,111922,141157
61529,77045,84531
61530,60614,84022
61531,55152,64347
61532,50268,76756
61533,65333,74851
61534,64821,77700
61535,116131,121649
61536,64567,75744
61537,55862,64056
61539,53750,55920
61540,62845,82124
61541,28125,43427
61542,57694,68726
61543,37250,47256
61544,60238,71577
61545,67212,76183
61546,64844,76951
61547,94559,112463
61548,86211,120640
61550,77137,98362
61552,36000,42531
61553,40833,56016
61554,53369,66475
61559,64013,77163
61560,64286,63917
61561,63015,75211
61562,-,73444
61563,44500,51468
61564,49583,59346
61565,60000,73681
61567,47143,55230
61568,82596,94617
61569,77679,82447
61570,55833,71413
61571,73581,91046
61572,55000,63528
61602,10458,35021
61603,32458,46186
61604,46803,59020
61605,21276,34790
61606,46964,67451
61607,61199,71601
61610,49870,72726
61611,62630,77169
61614,63311,83185
61615,75082,102561
61616,41621,63967
61625,-,-
61701,47969,62964
61704,86965,115649
61705,109615,131502
61720,60750,75180
61721,70486,67813
61722,68750,76325
61723,62670,77047
61724,65417,84010
61725,90625,111287
61726,64063,85368
61727,53904,71205
61728,61154,86084
61729,78281,85632
61730,61313,70473
61731,-,85603
61732,79737,89353
61733,59531,68744
61734,59278,77405
61735,58000,67618
61736,90938,119667
61737,72083,74208
61738,75568,105383
61739,58639,71785
61740,64327,96737
61741,68214,74878
61742,94044,106317
61743,65714,72108
61744,64911,76651
61745,81583,88449
61747,70769,87426
61748,98750,119952
61749,54511,65899
61750,44653,47633
61751,80139,61788
61752,79226,87899
61753,80900,95034
61754,68750,81026
61755,81597,93188
61756,69938,86654
61759,67400,86166
61760,60125,72641
61761,58037,77132
61764,49116,64777
61769,61750,70530
61770,64514,71832
61771,96944,108088
61772,73750,75134
61773,54500,55794
61774,74605,82763
61775,93750,105891
61776,91250,106732
61777,59083,83778
61778,60750,70615
61801,31915,52203
61802,48785,69026
61810,50000,58303
61811,46591,51651
61812,58295,94970
61813,48214,66062
61814,61429,71966
61815,58672,75091
61816,72083,95931
61817,54438,64482
61818,56518,74495
61820,26831,44542
61821,54736,75270
61822,89788,122847
61830,72569,72211
61831,41528,70403
61832,37227,53745
61833,44004,62931
61834,64342,82781
61839,67167,82413
61840,65234,78254
61841,66477,67877
61842,63507,71917
61843,64038,83601
61844,69732,105800
61845,85000,157321
61846,48000,60883
61847,72857,81443
61848,65417,66036
61849,60781,83701
61850,43571,57810
61851,64063,92763
61852,45521,53501
61853,94054,108201
61854,59612,73498
61855,-,47688
61856,77542,84639
61857,28750,40614
61858,63011,70001
61859,73370,86634
61862,74327,104471
61863,74444,75514
61864,78864,98001
61865,64531,73975
61866,43813,57269
61870,50368,68995
61871,83250,86065
61872,54583,70683
61873,94730,96879
61874,70551,84953
61875,124792,121649
61876,51875,64520
61877,77794,91239
61878,55368,75120
61880,79567,86227
61882,53250,65374
61883,48180,59059
61884,92500,117833
61910,58241,68704
61911,60288,83447
61912,52125,66129
61913,42917,56148
61914,57788,70111
61917,57188,61561
61919,65417,68470
61920,45740,69780
61924,63721,73379
61925,78125,95754
61928,55156,66408
61929,41389,74915
61930,67250,77242
61931,56359,58410
61932,60469,63006
61933,36797,51351
61936,76354,97486
61937,51591,60971
61938,44540,64109
61940,37750,49250
61941,-,N
61942,54236,65669
61943,54226,65392
61944,53496,61957
61949,50179,58686
61951,64726,72225
61953,56344,77846
61955,48182,51463
61956,58929,68105
61957,51481,62754
62001,76000,86192
62002,45130,62408
62006,69107,80105
62009,40821,49716
62010,65112,78341
62011,37143,47056
62012,72120,85014
62013,65313,82519
62014,61622,70819
62015,52031,56107
62016,55820,70637
62017,33594,47470
62018,40891,46475
62019,49000,54420
62021,92865,98791
62022,71667,78101
62023,56250,102834
62024,58251,67295
62025,83916,108021
62027,55000,73087
62028,50821,62526
62030,29583,36081
62031,48750,70765
62032,58646,62527
62033,45929,66710
62034,86123,107477
62035,70149,84523
62036,64375,81535
62037,55104,72116
62040,51953,61909
62044,60372,71154
62045,78056,76785
62046,70169,74962
62047,63663,70081
62048,58056,66763
62049,59614,70889
62050,50000,59783
62051,47788,62484
62052,59787,74426
62053,53500,54385
62054,46250,53464
62056,51201,64812
62058,46406,56418
62059,17500,26577
62060,30461,39221
62061,72870,85762
62062,79722,99532
62063,54732,70193
62065,-,70131
62067,80994,92475
62069,52563,66747
62070,-,N
62074,78667,87142
62075,57308,72341
62076,44375,59594
62077,54821,55436
62078,56563,53748
62079,-,41213
62080,38371,54069
62081,30357,45687
62082,44934,54239
62083,58875,62294
62084,47813,61796
62085,31875,49216
62086,49429,59120
62087,45200,51944
62088,55769,65013
62089,45938,69800
62090,26964,37611
62091,51979,79811
62092,42205,57764
62093,41635,46898
62094,43365,55241
62095,48061,58436
62097,84718,91631
62098,-,N
62201,15408,28410
62203,39216,49541
62204,22264,34823
62205,25821,41380
62206,36196,49798
62207,20273,31501
62208,65406,82860
62214,67321,75053
62215,73864,88891
62216,83015,98072
62217,42337,61845
62218,98472,106120
62219,51065,55357
62220,54290,69828
62221,69107,85229
62223,61035,76453
62225,70430,84055
62226,55420,76878
62230,70993,83094
62231,59487,71560
62232,54415,83010
62233,51262,67502
62234,56010,75876
62236,101250,126496
62237,57404,68030
62238,57583,56125
62239,43302,57351
62240,40673,53793
62241,69886,68994
62242,59821,71516
62243,74295,96714
62244,71094,86780
62245,70391,79037
62246,60230,75973
62248,47727,61980
62249,69954,88770
62250,44167,59424
62253,42813,51838
62254,65707,71925
62255,65313,81666
62257,54596,67590
62258,78910,92295
62260,79342,95988
62261,-,47235
62262,46667,61828
62263,62500,82484
62264,66464,73381
62265,78151,93026
62266,-,N
62268,64531,74117
62269,86232,109752
62271,70125,77706
62272,50104,61634
62273,58250,60463
62274,52618,72065
62275,77830,80015
62277,56800,67205
62278,64282,82226
62279,-,-
62280,90707,115424
62281,97875,121708
62282,63125,73324
62284,40833,53424
62285,82731,110523
62286,54280,72551
62288,61693,75136
62289,45500,54839
62292,37159,54440
62293,74453,99064
62294,82656,95460
62295,83382,94039
62297,60515,66177
62298,76030,92576
62301,42810,60394
62305,72840,94416
62311,38810,46919
62312,52083,65276
62313,46111,58121
62314,46250,58718
62316,59236,66962
62319,51250,59274
62320,62407,71976
62321,54975,72636
62323,58929,75396
62324,47059,53363
62325,59615,66211
62326,44821,60759
62330,46023,55082
62334,31875,37342
62336,-,81483
62338,73258,78163
62339,57500,71123
62340,54118,70743
62341,54087,75141
62343,44868,59117
62344,-,N
62345,62083,64729
62346,56607,69349
62347,63777,77547
62348,61080,64395
62349,53984,62697
62351,60481,68772
62352,35125,45103
62353,62105,68858
62354,52772,62983
62355,47045,57951
62356,39750,45626
62357,24673,51122
62358,57708,73588
62359,41125,54134
62360,65156,74711
62361,48636,51041
62362,40000,48049
62363,43802,63742
62365,49375,61561
62366,51667,58604
62367,34215,44954
62370,76667,101460
62373,56042,74842
62374,35938,47650
62375,77083,82005
62376,65625,77316
62378,57639,74723
62379,54718,75777
62380,62813,61551
62401,53367,78362
62410,72500,85947
62411,52344,73123
62413,60750,60106
62414,45179,63609
62417,42000,61938
62418,48594,71046
62419,54821,82365
62420,54160,67735
62421,73542,73949
62422,43833,59174
62423,87308,84673
62424,65679,82178
62425,55391,68335
62426,41786,50946
62427,53472,67068
62428,55662,63628
62431,50385,63551
62432,53421,77417
62433,52167,64846
62434,75357,81324
62436,37700,46212
62438,63438,53168
62439,45487,61793
62440,48804,57190
62441,58089,82432
62442,56100,62252
62443,56600,68132
62444,33438,58564
62445,54259,62250
62446,65750,74578
62447,52614,66330
62448,49528,61127
62449,47656,63449
62450,44583,59489
62451,48068,63462
62452,44792,51916
