ZTCA,Median_Household_Income,Mean_Household_Income
36067,53645,68484
36069,46020,64717
36071,31635,43321
36075,37202,53382
36078,54842,65307
36079,49792,71760
36080,81250,94545
36081,27368,48343
36082,,
36083,32394,52130
36088,31200,52212
36089,34417,44892
36091,39821,66658
36092,54861,69482
36093,98438,109317
36104,26401,47390
36105,31287,45385
36106,59985,81651
36107,29592,45607
36108,24832,40823
36109,54561,69919
36110,32760,47194
36111,51679,82099
36112,,
36113,88375,91040
36115,69028,100559
36116,45883,65969
36117,64011,84621
36201,27533,41236
36203,56237,76097
36205,85373,93909
36206,45115,57774
36207,54023,79579
36250,70813,74996
36251,35671,55420
36255,44375,74222
36256,41827,52883
36258,55500,65810
36260,40714,54523
36262,40147,72410
36263,26324,38067
36264,41123,54241
36265,50020,62986
36266,42574,57678
36267,,
36268,54286,60071
36269,55216,67104
36271,54073,72841
36272,41059,54138
36273,47625,60043
36274,40136,55999
36276,35804,65581
36277,57250,63104
36278,39235,60569
36279,56851,94036
36280,55803,56798
36301,42140,58856
36303,44639,67544
36305,67601,94617
36310,39983,54394
36311,36426,53848
36312,46111,64844
36313,72286,82513
36314,36875,42742
36316,64243,70950
36317,28839,43726
36318,50625,62969
36319,41893,54849
36320,40417,55927
36321,42500,50573
36322,41989,54254
36323,44978,54934
36330,61447,74597
36340,40828,49769
36343,41518,51539
36344,43273,56335
36345,62117,74223
36346,48424,69968
36350,42634,63388
36351,49074,65025
36352,65379,75555
36353,41648,59269
36360,44112,59071
36362,70024,69769
36370,43125,60111
36371,40000,63737
36373,27102,29897
36374,59875,85015
36375,46932,55886
36376,42212,56161
36401,37856,47767
36420,44753,60901
36421,42560,61146
36425,26635,36868
36426,40511,53840
36432,38125,49518
36435,35054,43570
36436,39231,54166
36439,38929,55186
36441,37656,52949
36442,35513,47559
36444,30982,56814
36445,45316,50416
36446,,28849
36451,47551,56298
36453,37607,52105
36454,,
36455,37614,59285
36456,40481,50732
36460,30511,53627
36467,38795,54272
36470,,
36471,18203,29622
36473,60987,77797
36474,47328,53563
36475,28158,43144
36476,,
36477,32305,47251
36480,27461,43144
36481,16161,24644
36482,31711,45693
36483,42188,60009
36502,32845,45717
36505,73090,86611
36507,44635,65722
36509,43363,51501
36511,20615,28911
36512,,
36513,27051,30170
36518,40000,53114
36521,55610,63877
36522,41319,50626
36523,46420,61655
36524,35093,40994
36525,43714,61434
36526,77739,88414
36527,94088,112210
36528,87596,101028
36529,,52336
36530,48906,66343
36532,69766,105482
36535,46753,59882
36538,29000,31082
36539,32583,42608
36540,32870,53345
36541,58794,66037
36542,53792,75601
36543,,59578
36544,44681,57813
36545,35970,53761
36548,,77476
36549,50000,75909
36550,118674,87659
36551,58849,70192
36553,45245,86382
36555,60781,81359
36556,,64870
36558,49315,61309
36559,26614,214738
36560,36397,49136
36561,83064,112046
36562,43816,51214
36564,,131520
36567,51479,58863
36568,13750,52969
36569,44137,74230
36571,58696,74701
36572,64348,82700
36574,,76993
36575,54921,68899
36576,57338,72443
36578,80313,90542
36579,48182,61426
36580,47438,61867
36581,,85231
36582,54544,67054
36583,41181,53407
36584,69531,58951
36585,31154,42730
36587,50529,63487
36590,,
36602,28750,48251
36603,20801,37269
36604,47080,70917
36605,35632,49547
36606,40850,56371
36607,37220,63802
36608,51332,74142
36609,40363,60594
36610,25963,32842
36611,28611,41398
36612,22172,37488
36613,39113,59604
36615,,
36616,,N
36617,31192,45365
36618,44531,53738
36619,50739,72328
36688,,
36693,61155,83827
36695,69084,84339
36701,37110,50909
36703,29990,43940
36720,17941,26313
36722,29722,30871
36723,16343,23976
36726,34205,47178
36727,,N
36728,19276,29310
36732,28056,49942
36736,64792,65296
36738,32765,38100
36740,34521,54268
36742,47466,56189
36744,29675,47265
36748,40208,51061
36749,27266,36926
36750,41944,64645
36751,32143,28249
36752,,52378
36753,,N
36754,,235676
36756,25553,36462
36758,52212,58859
36759,37250,50514
36761,25750,53677
36763,36250,45141
36765,22807,28940
36766,,61106
36767,22891,36852
36768,28750,36206
36769,35197,43705
36773,28507,37769
36775,35921,41666
36776,28182,50082
36782,38214,52464
36783,27143,54848
36784,37832,58979
36785,34079,48462
36786,18281,33700
36790,,34973
36792,69189,65330
36793,,56887
36801,46713,62852
36804,51159,65079
36830,53972,83017
36832,30603,51809
36849,,
36850,33832,42003
36852,24718,54504
36853,54248,70294
36854,52093,63844
36855,50016,58211
36856,72580,85782
36858,37917,61030
36859,,
36860,32209,48706
36861,49250,68784
36862,34531,47782
36863,38538,51601
36865,43750,51475
36866,39409,50057
36867,45702,58924
36869,36333,48930
36870,54067,74053
36871,27197,56059
36874,62722,76516
36875,54239,58921
36877,52076,74511
36879,99489,109207
36901,30580,32431
36904,36194,51877
36907,23590,36581
36908,55164,63479
36910,,
36912,32634,46290
36913,,
36915,33125,41948
36916,30000,53966
36919,29333,44735
36921,25238,51953
36922,36136,49036
36925,30904,39242
99501,58149,87155
99502,91066,118168
99503,56318,70272
99504,79472,93814
99505,63385,76543
99506,58851,65493
99507,88257,114491
99508,64244,84219
99510,,
99513,,
99515,108947,135431
99516,155354,190069
99517,81366,110956
99518,86131,106338
99519,,
99540,79554,95686
99546,70000,81086
99547,48750,69508
99548,34063,41470
99549,46875,58238
99550,51250,65027
99551,35625,45198
99552,48750,56536
99553,48125,55262
99554,37500,48766
99555,56250,69937
99556,56415,70602
99557,48125,71656
99558,41250,46155
99559,74828,90372
99561,52083,60182
99563,40625,45456
99564,43750,59956
99565,85417,84704
99566,,33350
99567,105921,115043
99568,42422,79737
99569,16875,23494
99571,82708,76377
99572,69242,74753
99573,48462,80392
99574,93365,111515
99575,26250,38304
99576,73452,88306
99577,112912,129771
99578,46071,59708
99579,63125,69144
99580,33000,39689
99581,39250,52005
99583,54250,77300
99585,28393,42026
99586,,57877
99587,85898,111759
99588,69904,88222
99589,37500,55180
99590,27500,35940
99591,63750,73846
99602,31250,44856
99603,65175,82715
99604,36250,46204
99605,128438,112388
99606,40781,59376
99607,38958,54340
99609,42500,45818
99610,74063,82004
99611,59801,80971
99612,73229,78604
99613,87500,96164
99614,38036,42152
99615,88482,97346
99620,33438,44794
99621,41250,51215
99622,54000,63272
99624,83125,61986
99625,23438,37269
99626,33333,43348
99627,47917,53380
99628,40938,54715
99630,28958,49823
99631,78382,83146
99632,34167,45546
99633,76250,98153
99634,25341,34818
99636,39643,45998
99637,41875,56645
99638,32083,45044
99639,55000,69293
99640,38750,49487
99641,38036,48581
99643,36250,52244
99644,35000,56294
99645,80574,98289
99647,53750,48764
99648,30625,36138
99649,43125,57773
99650,31875,53183
99651,,38700
99652,53209,68414
99653,87500,91319
99654,79706,95267
99655,36750,52175
99656,79167,80488
99657,35625,44022
99658,43889,54142
99659,43438,54520
99660,59063,63224
99661,67500,84565
99662,29792,41733
99663,70833,83574
99664,62750,74260
99665,,34683
99666,31250,32137
99667,,84681
99668,41250,53756
99669,75388,97924
99670,,65430
99671,41875,48194
99672,80357,90533
99674,45880,60963
99676,62778,68511
99677,65000,68594
99678,38750,51024
99679,28571,41135
99680,36528,44188
99681,32500,47093
99682,38000,60806
99683,44500,63092
99684,66250,72005
99685,95652,110988
99686,85064,98112
99688,49323,62658
99689,71607,76895
99690,48438,44486
99691,37500,38460
99692,76607,91365
99693,59000,69259
99694,54205,67453
99695,,
99701,59955,77955
99702,69292,78559
99703,55503,76403
99704,,
99705,80875,98048
99706,,N
99709,87055,104410
99712,88502,112461
99714,63826,84344
99720,22361,32943
99721,58438,71362
99722,37500,36470
99723,86413,101651
99724,,30731
99726,,107400
99727,42500,65453
99729,60536,72237
99730,,35018
99732,,N
99733,33750,50295
99734,,
99736,42500,50468
99737,76853,83501
99738,38750,50595
99739,57083,56012
99740,32708,51190
99741,72188,80308
99742,41500,50720
99743,86250,91768
99744,106875,104686
99745,28750,33931
99746,39722,50212
99747,63333,78848
99748,33500,50734
99749,45313,66988
99750,53750,72651
99751,55000,61181
99752,81188,98946
99753,36563,42524
99754,18125,34473
99755,54792,71677
99756,63750,89724
99757,,31218
99758,35938,50613
99759,59167,70790
99760,56607,71013
99761,46250,58368
99762,83005,98191
99763,43750,55828
99764,64375,69527
99765,46500,56543
99766,62813,76059
99767,51250,59706
99768,28750,40186
99769,45750,55920
99770,31250,38259
99771,54583,64002
99772,38125,52619
99773,44167,63903
99774,,15625
99775,45423,41344
99776,41250,48144
99777,40313,58321
99778,27500,37430
99780,62685,78276
99781,,37079
99782,62292,72516
99783,31250,41091
99784,53750,51805
99785,40000,52347
99786,46250,65969
99788,21875,30919
99789,75000,89537
99790,,107307
99791,86250,83221
99801,89436,108445
99820,36250,73554
99824,76250,94479
99825,64125,93494
99826,73182,86994
99827,57664,71604
99829,59375,71999
99830,55417,67822
99832,72000,87288
99833,69948,92572
99835,73682,90196
99836,68594,63582
99840,73906,82263
99841,55536,70354
99901,72728,92764
99903,,
99918,41250,54642
99919,47946,57014
99921,52188,69273
99922,33750,47649
99923,,
99925,62917,75567
99926,56188,68581
99927,,
99929,53894,71889
85003,44140,81084
85004,41951,77896
85006,38121,52872
85007,34667,62448
85008,43574,54556
85009,32893,50276
85012,70228,108242
85013,56402,83375
85014,53551,73520
85015,38019,51631
85016,60085,94216
85017,35951,47284
85018,66952,115071
85019,39462,48382
85020,57866,87198
85021,44511,71653
85022,57118,80606
85023,56564,80934
85024,76711,93641
85027,58877,68758
85028,92357,119734
85029,48547,58746
85031,40584,48254
85032,57570,73427
85033,42603,53747
85034,30130,41988
85035,45528,54828
85037,58694,66181
85040,41418,49928
85041,54546,67435
85042,60644,75076
85043,52418,62800
85044,76573,105770
85045,141127,162902
85048,104063,136315
85050,94450,129783
85051,43942,57069
85053,55865,68285
85054,86951,107981
85083,120174,135093
85085,96003,120263
85086,101856,124062
85087,72181,89371
85118,70133,97413
85119,55579,65890
85120,42993,56977
85121,13095,26208
85122,51665,64631
85123,40348,53170
85128,49142,60627
85131,40063,53940
85132,55348,67042
85135,36500,41515
85137,55625,64882
85138,76009,85004
85139,57438,69093
85140,71969,85103
85141,38846,54164
85142,92012,109352
85143,63897,71289
85145,73526,72297
85147,17963,31461
85172,55096,74298
85173,33246,46965
85192,54259,56434
85193,45950,64537
85194,58627,75440
85201,41795,52905
85202,51232,70605
85203,54919,77003
85204,53061,64533
85205,55699,75331
85206,51993,70893
85207,71497,98961
85208,53016,64271
85209,63568,81094
85210,43572,57973
85212,101788,120623
85213,70452,98437
85215,73488,101675
85224,73890,90632
85225,62155,76892
85226,85705,105931
85233,88092,105635
85234,85692,106806
85248,76457,107019
85249,114586,136865
85250,80157,102474
85251,64470,102189
85253,163750,285611
85254,94630,124538
85255,133044,186479
85256,36340,52375
85257,62584,82514
85258,86148,127289
85259,112979,172104
85260,86746,119300
85262,122273,196327
85263,103828,143312
85264,64779,124663
85266,145000,189734
85268,85344,122856
85281,38264,52504
85282,59339,72164
85283,65527,81790
85284,122583,151959
85286,106084,129555
85295,97472,112877
85296,96539,114481
85297,105064,119589
85298,112656,130826
85301,33497,45465
85302,47358,61883
85303,58433,71878
85304,66546,75223
85305,76690,94203
85306,65614,74063
85307,58380,70315
85308,78948,95263
85309,,
85310,103578,127129
85320,33229,61850
85321,36000,44118
85322,38063,55902
85323,53717,64863
85324,37410,52458
85325,49375,56874
85326,63060,74737
85328,38824,63868
85331,106401,130639
85332,42370,49527
85333,46103,53152
85334,35469,48631
85335,58216,66864
85336,44271,50303
85337,31090,48569
85338,78397,93083
85339,76170,88947
85340,93374,109085
85341,,
85342,45530,65541
85343,67750,67477
85344,40580,55542
85345,53383,63650
85346,21810,36835
85347,31406,40906
85348,41154,47738
85349,37343,50038
85350,38416,52589
85351,39779,51963
85352,31652,41175
85353,70543,77187
85354,62833,65231
85355,91533,106480
85356,48578,62048
85357,26080,38801
85360,53750,51050
85361,62250,78791
85362,40893,44853
85363,40781,52476
85364,43314,58055
85365,53131,67549
85367,49112,60421
85371,,38134
85373,54958,69341
85374,58127,70325
85375,54535,67707
85377,77500,146186
85379,80758,91399
85381,77068,92759
85382,72756,85066
85383,114830,137317
85387,71449,81237
85388,80906,94040
85390,50009,77660
85392,68663,84844
85395,90017,106590
85396,89919,101277
85501,46944,59504
85530,30625,41005
85531,76354,70741
85533,49713,67167
85534,49976,71786
85535,,
85536,60694,63107
85539,45206,56211
85540,72934,84124
85541,46401,62988
85542,37552,48731
85543,43895,59387
85544,53456,62034
85545,24034,28797
85546,50865,58951
85550,33051,48249
85551,70662,75495
85552,59650,68698
85553,40373,43602
85554,32375,41187
85601,30977,51800
85602,40154,55334
85603,35268,46533
85605,27011,38415
85606,41429,52176
85607,36218,49726
85608,,
85609,131616,152983
85610,41422,53714
85611,64773,88972
85613,73125,82573
85614,51449,67347
85615,71473,84115
85616,45093,54116
85617,30217,47748
85618,37331,42565
85619,35278,36681
85620,37563,43011
85621,30196,51065
85622,61774,83437
85623,60753,89917
85624,39013,56509
85625,40823,48139
85626,31875,39689
85627,47188,68123
85629,82334,91646
85630,38507,57186
85631,42105,47471
85632,43393,55282
85633,,44778
85634,26389,40151
85635,51861,69237
85637,63472,87532
85638,39632,47851
85640,,94401
85641,91317,105808
85643,44850,54967
85645,44951,54953
85646,66316,88523
85648,51365,67656
85650,70625,85653
85653,68507,74351
85654,,
85658,85239,103725
85701,43527,62550
85704,56649,83636
85705,29696,42292
85706,37032,46446
85707,,
85708,57743,65625
85710,44277,57567
85711,41426,53908
85712,37444,51980
85713,36560,47820
85714,29652,42621
85715,67957,93284
85716,41025,60584
85718,89415,145550
85719,34230,48967
85723,,
85724,,
85726,,
85730,53236,66533
85735,48069,61340
85736,48119,59435
85737,86619,106363
85739,68662,84073
85741,60972,70817
85742,78904,92624
85743,76099,91175
85745,54909,74855
85746,51272,61911
85747,90080,98429
85748,80140,96842
85749,92224,120345
85750,83689,126585
85755,91037,116208
85756,52247,65835
85757,57419,66974
85901,50394,63393
85911,14545,23874
85912,16691,22452
85920,59615,73793
85922,,91942
85923,39926,43581
85924,39409,52462
85925,55780,63982
85926,48750,60564
85927,,79747
85928,40724,54098
85929,46225,62490
85930,45625,47672
85931,49821,53188
85932,,123095
85933,38651,48805
85934,35263,41017
85935,60909,79861
85936,48182,54580
85937,44954,57743
85938,58073,62520
85939,44400,61576
85940,58710,64657
85941,31045,40485
85942,,
86001,59536,85494
86003,16406,17440
86004,69500,84332
86011,,11790
86015,,
86016,,26018
86017,64761,74077
86018,72569,81371
86020,33958,41170
86021,58804,73381
86022,40303,51791
86023,67521,68382
86024,80781,86929
86025,46679,58313
86028,,
86029,,
86030,37500,48802
86031,18889,26851
86032,64926,78206
86033,25546,41354
86034,17228,35577
86035,41417,52539
86036,48304,70437
86038,,
86039,31705,52619
86040,64066,70305
86042,39716,51388
86043,36181,43261
86044,17885,32060
86045,44209,54817
86046,53797,66208
86047,37880,52087
86052,,
86053,42059,53433
86054,28600,44870
86301,53190,71471
86303,56085,72479
86305,70048,94584
86313,,
86314,50783,60727
86315,58940,73539
86320,38571,51077
86321,62019,79278
86322,43121,55984
86323,52152,65815
86324,49383,58622
86325,61938,69030
86326,46674,58109
86327,55344,68454
86329,65656,61425
86331,52083,77293
86332,38984,52775
86333,38700,55237
86334,41445,56618
86335,40489,47885
86336,60386,86245
86337,34722,57176
86338,57500,78587
86343,,57443
86351,59836,94655
86401,51711,68716
86403,50981,67301
86404,52669,69548
86406,56203,74011
86409,39756,52572
86411,35938,42602
86413,38292,45663
86426,50535,65164
